kind,fine,coarse,retailer_or_market,title,license,image_source,image_url,local_path,scrape_date
scene,,,FairPrice,"File:FairPrice Supermarket, Nex, Singapore - 20140315.jpg",CC BY-SA 3.0,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/FairPrice_Supermarket%2C_Nex%2C_Singapore_-_20140315.jpg/1280px-FairPrice_Supermarket%2C_Nex%2C_Singapore_-_20140315.jpg,sg_dataset/natural_scenes/FairPrice/FairPrice_001.jpg,2026-07-09
scene,,,Sheng-Siong,File:Sheng siong.jpg,CC BY-SA 3.0,wikimedia,https://upload.wikimedia.org/wikipedia/commons/a/af/Sheng_siong.jpg,sg_dataset/natural_scenes/Sheng-Siong/Sheng-Siong_001.jpg,2026-07-09
scene,,,Wet-Market,File:Vegetable stall at wet market.jpg,CC BY-SA 3.0,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Vegetable_stall_at_wet_market.jpg/1280px-Vegetable_stall_at_wet_market.jpg,sg_dataset/natural_scenes/Wet-Market/Wet-Market_001.jpg,2026-07-09
scene,,,Wet-Market,File:Wet Market Stall Owner.jpg,CC BY-SA 4.0,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Wet_Market_Stall_Owner.jpg/1280px-Wet_Market_Stall_Owner.jpg,sg_dataset/natural_scenes/Wet-Market/Wet-Market_002.jpg,2026-07-09
product,Local-Mango,Fruit,,File:Singapore fruit.jpg,CC BY-SA 4.0,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Singapore_fruit.jpg/1280px-Singapore_fruit.jpg,sg_dataset/natural/Fruit/Local-Mango/Local-Mango_natural_001.jpg,2026-07-09
product,Local-Mango,Fruit,,Mangoes & diabetes,by-nc-sa,openverse,https://live.staticflickr.com/5568/14766172821_53b737d900_b.jpg,sg_dataset/natural/Fruit/Local-Mango/Local-Mango_natural_003.jpg,2026-07-09
product,Bananas,Fruit,,File:(Street market vendor in Singapore) - DPLA - 084951ef0efdc76a4b1d52e1bf8e0602.jpg,CC BY 4.0,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/%28Street_market_vendor_in_Singapore%29_-_DPLA_-_084951ef0efdc76a4b1d52e1bf8e0602.jpg/1280px-%28Street_market_vendor_in_Singapore%29_-_DPLA_-_084951ef0efdc76a4b1d52e1bf8e0602.jpg,sg_dataset/natural/Fruit/Bananas/Bananas_natural_001.jpg,2026-07-09
product,Bananas,Fruit,,"A flower weaver at Buffalo Road, Little India, Singapore",by-sa,openverse,https://live.staticflickr.com/118/300715608_d00bd6804b.jpg,sg_dataset/natural/Fruit/Bananas/Bananas_natural_003.jpg,2026-07-09
product,Bananas,Fruit,,Baskets and Trays,by-sa,openverse,https://live.staticflickr.com/7391/10084193936_520dff62fa_b.jpg,sg_dataset/natural/Fruit/Bananas/Bananas_natural_004.jpg,2026-07-09
product,Bananas,Fruit,,"Little India, Singapore",by-sa,openverse,https://live.staticflickr.com/2638/4059104115_942ea36850_b.jpg,sg_dataset/natural/Fruit/Bananas/Bananas_natural_005.jpg,2026-07-09
product,Bananas,Fruit,,Shelves of Fruit and Vegetables,by-sa,openverse,https://live.staticflickr.com/3764/10077305826_2abb8b6817_b.jpg,sg_dataset/natural/Fruit/Bananas/Bananas_natural_006.jpg,2026-07-09
product,Bananas,Fruit,,Pisang Tanduk,by-nc-sa,openverse,https://live.staticflickr.com/4120/4919042308_f8a0bf6367_b.jpg,sg_dataset/natural/Fruit/Bananas/Bananas_natural_007.jpg,2026-07-09
product,Bananas,Fruit,,Fruits,by,openverse,https://live.staticflickr.com/8300/8012349172_6992b9d2a9_b.jpg,sg_dataset/natural/Fruit/Bananas/Bananas_natural_014.jpg,2026-07-09
product,Bananas,Fruit,,_DSC8912_,by-nd,openverse,https://live.staticflickr.com/7359/8784778653_55821dc498_b.jpg,sg_dataset/natural/Fruit/Bananas/Bananas_natural_015.jpg,2026-07-09
scene,,,Giant,"File:Giant hypermarket in Tampines, Singapore 001.jpg",CC BY-SA 4.0,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Giant_hypermarket_in_Tampines%2C_Singapore_001.jpg/1280px-Giant_hypermarket_in_Tampines%2C_Singapore_001.jpg,sg_dataset/natural_scenes/Giant/Giant_001.jpg,2026-07-09
product,Kailan,Vegetables,,Team photo: FairPrice vegetable shelf (SG Kai Lan packaging + price tag),own-photo,team,,sg_dataset/natural/Vegetables/Kailan/Kailan_store_001.jpg,2026-07-09
product,Gardenia-White-Bread,Bakery,,Team photo: FairPrice bread shelf (Gardenia Fine Grain/Extra Soft/Brioche + price tag),own-photo,team,,sg_dataset/natural/Bakery/Gardenia-White-Bread/Gardenia-White-Bread_store_001.jpg,2026-07-09
product,Bananas,Fruit,,Team photo: FairPrice produce shelf (Cavendish bananas + price tags),own-photo,team,,sg_dataset/natural/Fruit/Bananas/Bananas_store_001.jpg,2026-07-09
product,Pasar-Fresh-Eggs,Dairy,,Team photo: FairPrice egg shelf (Pasar Fresh Eggs + $2.85 price tag),own-photo,team,,sg_dataset/natural/Dairy/Pasar-Fresh-Eggs/Pasar-Fresh-Eggs_store_001.jpg,2026-07-09
product,Pasar-Fresh-Eggs,Dairy,,Team photo: FairPrice egg shelf (Pasar Farm Fresh + $3.88 price tag),own-photo,team,,sg_dataset/natural/Dairy/Pasar-Fresh-Eggs/Pasar-Fresh-Eggs_store_002.jpg,2026-07-09
product,Maggi-Curry-Noodles,Noodles,,Team photo: Maggi Curry Flavour Noodles pack (home kitchen counter),own-photo,team,,sg_dataset/natural/Noodles/Maggi-Curry-Noodles/Maggi-Curry-Noodles_home_001.jpg,2026-07-09
product,Maggi-Curry-Noodles,Noodles,,Team photo: Maggi Curry Flavour Noodles pack - angle 2 (home kitchen counter),own-photo,team,,sg_dataset/natural/Noodles/Maggi-Curry-Noodles/Maggi-Curry-Noodles_home_002.jpg,2026-07-09
natural_multi,"Ayam-Brand-Sardines;Bananas;Camel-Nuts;Kailan;Pasar-Fresh-Eggs",Multi,FairPrice,"Team basket photo: 5 products in an NTUC basket (multi-item detection test)",team-photo,team,,sg_dataset/natural_multi/Basket_001.jpg,2026-07-10
