fine,coarse,product_name,brand,size,unit_price_sgd,per_unit_sgd,image_source,image_url,source_url,local_path,scrape_date
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder with Milk  - Gao Kosong,Milo,400g,6.95,6.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13147486_XL1_20240319.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-with-milk-gao-kosong-450g-13147486,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_001.jpg,2026-07-09
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder with Milk  - Gao Kosong,Milo,400g,6.95,6.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13147486_BXL1_20240319.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-with-milk-gao-kosong-450g-13147486,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_003.jpg,2026-07-09
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder with Milk  - Gao Kosong,Milo,750g,10.85,10.85,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13135484_XL1_20251019.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-with-milk-gao-kosong-750g-13135484,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_005.jpg,2026-07-09
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder with Milk  - Gao Kosong,Milo,750g,10.85,10.85,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13135484_LXL1_20250421.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-with-milk-gao-kosong-750g-13135484,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_007.jpg,2026-07-09
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder with Milk  - Gao Kosong,Milo,750g,10.85,10.85,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13135484_RXL1_20250421.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-with-milk-gao-kosong-750g-13135484,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_009.jpg,2026-07-09
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder with Milk  - Gao Kosong,Milo,750g,10.85,10.85,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13135484_BXL1_20240319.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-with-milk-gao-kosong-750g-13135484,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_011.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk + Tin (Value Pack),Milo,1.3kg,12.7,12.7,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13287078_XL1_20260410.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-tin-value-pack-1-3kg-13287078,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_013.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk + Tin (Value Pack),Milo,1.3kg,12.7,12.7,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13287078_LXL1_20260410.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-tin-value-pack-1-3kg-13287078,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_015.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk + Tin (Value Pack),Milo,1.3kg,12.7,12.7,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13287078_RXL1_20260410.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-tin-value-pack-1-3kg-13287078,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_017.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk + Tin (Value Pack),Milo,1.3kg,12.7,12.7,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13287078_BXL1_20260410.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-tin-value-pack-1-3kg-13287078,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_019.jpg,2026-07-09
